trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.95, 'e': 0.9939560979566968}",25,0,-194.0948831820873,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
111,False,"{'a': 0.95, 'e': 0.9938458226961485}",20,0,-36.17834377587101,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
112,False,"{'a': 0.95, 'e': 0.9937345535898603}",20,0,-83.80683355908059,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
113,False,"{'a': 0.95, 'e': 0.9936222907491012}",30,0,-41.546198741858746,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
114,False,"{'a': 0.95, 'e': 0.9935090342861344}",25,0,-166.8956677455358,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
115,False,"{'a': 0.95, 'e': 0.9933947843142158}",20,0,-127.02742264696515,"{0: 10, 1: 1, 2: 5, 3: 4, 4: 0}",0
116,False,"{'a': 0.95, 'e': 0.9932795409475959}",20,0,-106.9637675000252,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
117,False,"{'a': 0.95, 'e': 0.9931633043015177}",25,0,-139.50323324306677,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
118,False,"{'a': 0.95, 'e': 0.993046074492218}",20,2,-59.72421057523859,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 0}",1
119,False,"{'a': 0.95, 'e': 0.9929278516369265}",25,0,-95.91191236130365,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
120,False,"{'a': 0.95, 'e': 0.9928086358538663}",20,0,-161.6603872590331,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
121,False,"{'a': 0.95, 'e': 0.9926884272622528}",20,0,-121.78300516104335,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
122,False,"{'a': 0.95, 'e': 0.9925672259822949}",20,0,-148.82568665139235,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
123,False,"{'a': 0.95, 'e': 0.9924450321351935}",20,0,-87.45410762137283,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
124,False,"{'a': 0.95, 'e': 0.9923218458431429}",25,0,-80.33093100575428,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
125,False,"{'a': 0.95, 'e': 0.992197667229329}",20,0,-99.52640226651721,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
126,False,"{'a': 0.95, 'e': 0.9920724964179307}",20,0,-113.5205964532631,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
127,False,"{'a': 0.95, 'e': 0.9919463335341185}",25,0,-58.74757070479466,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
128,False,"{'a': 0.95, 'e': 0.9918191787040556}",25,0,-61.84908247663548,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
129,False,"{'a': 0.95, 'e': 0.9916910320548965}",30,0,-255.30345826497663,"{0: 13, 1: 5, 2: 7, 3: 1, 4: 4}",0
